YEAR,MO,DY,HR,WS10M,WD10M,WS50M,WD50M
2015,1,1,0,6.8,89.67,8.52,89.58
2015,1,1,1,7.06,90.76,8.82,90.81
2015,1,1,2,7.21,91.43,8.92,91.61
2015,1,1,3,7.33,91.53,9.05,91.68
2015,1,1,4,7.18,92.81,8.9,92.97
2015,1,1,5,7.35,95.3,9.07,95.44
2015,1,1,6,7.31,97.49,8.9,97.62
2015,1,1,7,7.89,97.4,9.7,97.59
2015,1,1,8,8.5,95.43,10.58,96.19
2015,1,1,9,8.31,92.05,10.6,93.34
2015,1,1,10,7.83,88.23,10.38,89.91
2015,1,1,11,7.39,83.81,10.14,85.89
2015,1,1,12,7.3,79.27,10.15,81.63
2015,1,1,13,7.4,75.57,10.27,77.97
2015,1,1,14,7.54,73.39,10.47,75.61
2015,1,1,15,7.59,73.13,10.52,75.02
2015,1,1,16,7.47,73.65,10.39,75.0
2015,1,1,17,7.25,74.77,10.12,75.38
2015,1,1,18,7.05,77.06,9.58,77.23
2015,1,1,19,6.99,81.78,9.28,81.67
2015,1,1,20,6.84,86.01,8.82,85.78
2015,1,1,21,6.57,88.3,8.33,88.01
2015,1,1,22,6.59,87.76,8.3,87.68
2015,1,1,23,6.72,86.27,8.36,86.25
2015,1,2,0,6.79,84.65,8.5,84.89
2015,1,2,1,7.15,83.66,8.94,83.93
2015,1,2,2,7.41,84.31,9.25,84.53
2015,1,2,3,7.43,86.02,9.26,86.23
2015,1,2,4,7.58,88.76,9.48,88.96
2015,1,2,5,7.61,91.77,9.53,91.93
2015,1,2,6,7.68,94.08,9.57,94.21
2015,1,2,7,8.15,95.5,10.26,95.86
2015,1,2,9,8.61,91.66,11.16,93.01
2015,1,2,10,8.47,88.31,11.27,90.12
2015,1,2,18,8.29,79.41,11.04,79.72
2015,1,2,19,8.27,81.85,10.78,82.0
2015,1,2,20,8.06,83.71,10.36,83.76
2015,1,2,21,7.98,84.38,10.24,84.57
2015,1,2,22,8.08,84.84,10.28,85.2
2015,1,2,23,8.04,85.71,10.19,86.26
2015,1,3,0,7.85,87.09,9.91,87.56
2015,1,3,1,7.71,87.73,9.73,88.02
2015,1,3,2,7.54,87.39,9.5,87.5
2015,1,3,3,7.51,87.08,9.48,87.17
2015,1,3,4,7.66,87.49,9.63,87.58
2015,1,3,5,7.8,88.45,9.83,88.59
2015,1,3,6,7.82,89.71,9.74,89.82
2015,1,3,7,8.42,90.48,10.58,90.76
2015,1,3,17,8.31,77.18,11.22,77.82
2015,1,3,18,7.88,78.51,10.61,78.84
2015,1,3,19,7.82,80.63,10.35,80.57
2015,1,3,20,7.68,81.28,9.92,81.21
2015,1,3,21,7.66,82.85,9.82,82.91
2015,1,3,22,7.71,85.58,9.75,85.77
2015,1,3,23,7.64,88.42,9.63,88.65
2015,1,4,0,7.46,90.72,9.35,90.96
2015,1,4,1,7.43,92.77,9.3,93.08
2015,1,4,2,7.37,95.17,9.19,95.41
2015,1,4,3,7.62,96.83,9.55,96.9
2015,1,4,4,7.63,97.41,9.53,97.45
2015,1,4,5,7.63,97.77,9.55,97.81
2015,1,4,6,7.65,99.29,9.49,99.28
2015,1,4,7,8.05,99.95,10.02,99.92
2015,1,4,8,8.5,97.97,10.76,98.43
2015,1,4,9,8.5,95.33,11.03,96.22
2015,1,4,10,8.4,92.35,11.21,93.56
2015,1,4,11,8.34,88.98,11.33,90.4
2015,1,4,16,8.23,78.0,11.29,79.35
2015,1,4,17,7.92,77.24,10.8,77.93
2015,1,4,18,7.51,78.12,10.15,78.32
2015,1,4,19,7.14,80.87,9.46,80.88
2015,1,4,20,6.73,83.87,8.74,83.74
2015,1,4,21,6.36,85.42,8.14,85.26
2015,1,4,22,6.56,85.7,8.31,85.53
2015,1,4,23,6.74,85.82,8.46,85.82
2015,1,5,0,6.72,86.87,8.38,86.9
2015,1,5,1,6.61,87.36,8.27,87.18
2015,1,5,2,6.83,86.53,8.57,86.39
2015,1,5,3,6.98,86.15,8.83,86.04
2015,1,5,4,6.95,87.16,8.85,87.17
2015,1,5,5,6.87,89.8,8.8,89.9
2015,1,5,6,6.9,92.86,8.76,93.07
2015,1,5,7,7.34,94.76,9.42,95.09
2015,1,5,8,7.81,94.71,10.21,95.31
2015,1,5,9,7.64,92.99,10.35,93.89
2015,1,5,10,7.59,89.53,10.58,90.85
2015,1,5,11,7.58,85.45,10.78,87.13
2015,1,5,12,7.62,81.33,10.91,83.17
2015,1,5,13,7.79,78.08,11.11,80.04
2015,1,5,17,7.81,74.92,10.73,75.62
2015,1,5,18,7.52,75.63,10.31,76.02
2015,1,5,19,7.48,76.6,10.05,76.83
2015,1,5,20,7.36,76.69,9.64,76.79
2015,1,5,21,7.39,76.74,9.55,76.95
2015,1,5,22,7.67,77.71,9.82,77.88
2015,1,5,23,7.67,79.2,9.82,79.41
2015,1,6,0,7.56,80.12,9.65,80.31
2015,1,6,1,7.4,79.6,9.37,79.77
2015,1,6,2,7.4,78.3,9.41,78.5
2015,1,6,3,7.66,78.53,9.73,78.75
2015,1,6,4,7.78,80.29,9.88,80.54
2015,1,6,5,7.68,83.4,9.76,83.61
2015,1,6,6,7.61,86.94,9.65,87.12
2015,1,6,7,7.95,89.61,10.08,89.96
2015,1,6,8,8.32,90.54,10.64,91.3
2015,1,6,9,8.03,89.72,10.49,90.64
2015,1,6,10,7.73,87.22,10.46,88.5
2015,1,6,11,7.62,84.23,10.59,85.85
2015,1,6,12,7.61,81.26,10.73,83.06
2015,1,6,13,7.69,78.39,10.88,80.2
2015,1,6,14,7.82,76.3,11.03,77.98
2015,1,6,15,7.94,76.63,11.18,78.14
2015,1,6,16,7.82,78.24,11.0,79.36
2015,1,6,17,7.36,79.24,10.44,79.87
2015,1,6,18,7.04,80.1,9.93,80.22
2015,1,6,19,6.97,81.69,9.6,81.57
2015,1,6,20,6.69,84.17,9.02,84.09
2015,1,6,21,6.58,85.58,8.74,85.54
2015,1,6,22,6.64,87.44,8.66,87.41
2015,1,6,23,6.84,88.95,8.87,88.99
2015,1,7,0,6.77,89.47,8.7,89.59
2015,1,7,1,6.57,89.45,8.41,89.68
2015,1,7,2,6.57,89.59,8.4,89.95
2015,1,7,3,6.58,89.8,8.39,90.11
2015,1,7,4,6.51,90.62,8.34,90.91
2015,1,7,5,6.55,91.71,8.43,91.97
2015,1,7,6,6.47,92.29,8.2,92.51
2015,1,7,7,6.8,91.71,8.69,92.01
2015,1,7,8,7.46,90.06,9.75,90.87
2015,1,7,9,7.51,87.38,10.11,88.72
2015,1,7,10,7.32,84.61,10.18,86.3
2015,1,7,11,7.18,81.87,10.19,84.01
2015,1,7,12,7.07,78.71,10.13,80.9
2015,1,7,13,7.05,74.9,10.12,77.2
2015,1,7,14,7.14,72.22,10.2,74.54
2015,1,7,15,7.12,71.64,10.22,73.8
2015,1,7,16,6.94,71.89,10.03,73.58
2015,1,7,17,6.55,72.0,9.66,72.83
2015,1,7,18,6.22,72.32,9.09,72.64
2015,1,7,19,5.89,75.95,8.47,76.07
2015,1,7,20,5.48,81.96,7.8,81.88
2015,1,7,21,5.0,87.76,7.05,87.58
2015,1,7,22,4.82,92.05,6.72,91.86
2015,1,7,23,4.81,92.98,6.53,92.81
2015,1,8,0,4.73,92.84,6.34,92.61
2015,1,8,1,4.76,91.22,6.2,91.15
2015,1,8,2,4.77,88.97,6.13,88.83
2015,1,8,3,5.12,87.03,6.51,87.11
2015,1,8,4,5.36,85.49,6.85,85.55
2015,1,8,5,5.46,84.5,6.98,84.54
2015,1,8,6,5.42,84.71,6.73,84.81
2015,1,8,7,5.85,84.56,7.4,84.73
2015,1,8,8,6.4,83.34,8.39,84.07
2015,1,8,9,6.29,80.35,8.53,81.57
2015,1,8,10,5.98,76.25,8.38,78.06
2015,1,8,11,5.92,72.74,8.4,74.97
2015,1,8,12,6.02,69.4,8.56,71.93
2015,1,8,13,6.17,67.04,8.77,69.56
2015,1,8,14,6.38,65.72,9.09,68.15
2015,1,8,15,6.56,66.58,9.42,68.71
2015,1,8,16,6.62,67.82,9.62,69.27
2015,1,8,17,6.32,67.69,9.4,68.19
2015,1,8,18,5.95,68.11,8.78,68.23
2015,1,8,19,5.45,71.46,7.81,71.33
2015,1,8,20,5.03,78.45,7.08,78.36
2015,1,8,21,4.76,87.46,6.6,87.22
2015,1,8,22,4.8,94.95,6.44,94.8
2015,1,8,23,5.15,98.19,6.84,97.82
2015,1,9,0,5.68,98.78,7.39,98.45
2015,1,9,1,6.31,97.47,8.14,97.22
2015,1,9,2,6.45,95.98,8.31,95.83
2015,1,9,3,6.4,94.76,8.29,94.7
2015,1,9,4,6.3,93.98,8.14,93.96
2015,1,9,5,6.44,93.97,8.34,94.03
2015,1,9,6,6.62,94.6,8.5,94.59
2015,1,9,7,6.94,94.26,8.99,94.23
2015,1,9,8,7.44,92.59,9.87,93.13
2015,1,9,9,7.38,90.18,10.07,91.29
2015,1,9,10,7.0,87.89,9.86,89.46
2015,1,9,11,6.56,85.36,9.45,87.25
2015,1,9,12,6.3,81.66,9.13,83.96
2015,1,9,13,6.22,77.74,8.98,80.43
2015,1,9,14,6.42,74.61,9.18,77.36
2015,1,9,15,6.67,72.9,9.53,75.33
2015,1,9,16,6.93,71.14,9.94,72.76
2015,1,9,17,6.94,69.38,10.1,70.11
2015,1,9,18,6.78,70.27,9.68,70.44
2015,1,9,19,6.3,73.43,8.85,73.39
2015,1,9,20,5.72,78.98,8.02,78.88
2015,1,9,21,5.1,86.4,7.16,86.25
2015,1,9,22,4.72,92.47,6.61,92.23
2015,1,9,23,4.55,94.13,6.27,94.0
2015,1,10,0,4.83,91.95,6.66,91.68
2015,1,10,1,5.33,87.48,7.16,87.31
2015,1,10,2,5.74,83.91,7.65,83.84
2015,1,10,3,5.97,81.88,7.95,81.97
2015,1,10,4,6.17,81.85,8.17,81.97
2015,1,10,5,6.14,82.62,8.14,82.78
2015,1,10,6,6.21,84.66,8.08,84.84
2015,1,10,7,6.41,87.7,8.47,87.99
2015,1,10,8,6.83,88.03,9.32,88.99
2015,1,10,9,6.72,83.59,9.48,85.18
2015,1,10,10,6.6,77.71,9.51,79.73
2015,1,10,11,6.62,73.62,9.62,75.94
2015,1,10,12,6.6,71.57,9.57,73.93
2015,1,10,13,6.6,69.7,9.55,72.13
2015,1,10,14,6.62,67.46,9.61,69.78
2015,1,10,15,6.71,65.22,9.79,67.08
2015,1,10,16,6.71,64.72,9.86,65.95
2015,1,10,17,6.33,65.74,9.46,66.12
2015,1,10,18,6.08,69.37,9.08,69.49
2015,1,10,19,5.72,75.38,8.41,75.31
2015,1,10,20,5.12,81.31,7.54,81.24
2015,1,10,21,4.75,86.04,7.02,86.05
2015,1,10,22,5.05,88.4,7.35,88.42
2015,1,10,23,5.2,88.8,7.35,88.84
